id,firstName,lastName,email,gender,contactNo,cgpa,dateOfBirth
1,Bradley,Jimenez,robertsonashley@gmail.com,Female,604-929-8479x6950,3.68,19-10-2011
2,Kevin,Perry,kimmarissa@blankenship.com,Male,(446)604-8159x8363,2.65,11-08-2012
3,Samantha,Tanner,jessicahenry@kaufman.com,Male,779.618.8158,2.05,28-12-2007
4,Anthony,Davis,jamiearmstrong@gmail.com,Male,718-051-1277x27794,3.71,25-12-2005
5,Cheryl,Clark,jose80@johnson.info,Male,(762)411-0556,3.43,12-08-2010
6,Katie,Frederick,jessica19@bishop.com,Male,+1-300-031-4061x8551,3.67,28-03-2013
7,Gilbert,Hester,alejandra81@jones-ford.com,Male,+1-365-599-8700x061,2.87,11-03-2012
8,Peter,Romero,tracy09@tran.net,Male,001-914-048-1579x201,3.17,17-07-2012
9,Rebekah,George,heatherlogan@yahoo.com,Female,(888)416-0471,3.46,04-04-2010
10,Kayla,Horn,hodgewillie@guzman-torres.net,Male,(208)996-8062,2.41,17-05-2009
11,John,Jones,eric82@yahoo.com,Female,+1-716-135-7628,2.89,20-03-2012
12,Michael,Archer,kallen@lee-lowe.com,Male,+1-523-355-1214x3032,3.89,06-01-2009
13,James,Wolf,samantha81@yahoo.com,Female,(288)321-6169,3.11,31-12-2009
14,Heather,French,pwallace@hotmail.com,Female,+1-363-387-2352x24048,2.81,07-03-2009
15,Robin,Meyers,alexandermolly@bradley.com,Female,137-739-7712x56782,3.68,01-08-2010
16,Carlos,Lewis,ginanewton@ho.com,Female,280-625-4939,3.3,03-03-2009
17,Michael,Dunn,qfowler@curry-hall.com,Female,+1-183-002-2133,2.47,23-04-2009
18,Anthony,Flowers,dorothywebster@gmail.com,Female,5417784353,2.53,16-02-2006
19,Chelsea,Bond,bjohnston@gmail.com,Male,(380)518-7502x55327,2.14,16-12-2012
20,Jason,Villarreal,shelbywhite@yahoo.com,Female,882-298-2960x285,3.87,15-04-2007
21,Cody,Campos,hayestasha@whitney.org,Female,(896)004-9103,2.46,30-04-2006
22,David,Evans,laura86@hotmail.com,Female,(161)397-1968x762,2.34,26-09-2008
